GSM,GSE,Cell Type,In Situ Site,Disease,PubMed ID,Release Date,FRiP,Number of Peaks,Motif Overlap Ratio
GSM1003464,GSE29611,DND-41,Peripheral blood,"Childhood T acute lymphoblastic leukemia, Precursor T-cell acute lymphoblastic leukemia",22955616,6/2/11,0.319,65679,0.767
GSM1003474,GSE29611,B-cell,B-cell,,22955616,6/2/11,0.233,44509,0.825
GSM1003508,GSE29611,monocyte,Monocyte,,22955616,6/2/11,0.211,37433,0.852
GSM1003581,GSE29611,A-549,Lung,Lung adenocarcinoma,22955616,6/2/11,0.264,67336,0.81
GSM1003582,GSE29611,A-549,Lung,Lung adenocarcinoma,22955616,6/2/11,0.219,56803,0.838
GSM1003606,GSE31477,A-549,Lung,Lung adenocarcinoma,22955616,8/30/11,0.121,52634,0.823
GSM1003633,GSE31477,SK-N-SH,Metastatic; Bone marrow,Neuroblastoma,22955616,8/30/11,0.21,62335,0.785
GSM1006869,GSE33213,GM13977,Peripheral blood,Cornelia de Lange syndrome,,10/25/11,0.167,50213,0.83
GSM1006870,GSE33213,GM10266,Peripheral blood,Cornelia de Lange syndrome,,10/25/11,0.129,51084,0.8
GSM1006873,GSE33213,GM20000,Peripheral blood,Cornelia de Lange syndrome,,10/25/11,0.088,33615,0.861
GSM1006874,GSE33213,LNCaP,Prostate,Prostate carcinoma,,10/25/11,0.317,51947,0.836
GSM1006875,GSE33213,MCF-7,Breast,Invasive breast carcinoma of no special type,,10/25/11,0.38,147034,0.536
GSM1006878,GSE33213,MCF-7,Breast,Invasive breast carcinoma of no special type,,10/25/11,0.311,176413,0.45
GSM1006881,GSE33213,pancreas,Pancreas,,,10/25/11,0.326,45050,0.836
GSM1006882,GSE33213,lung,Lung,,,10/25/11,0.203,34305,0.859
GSM1006883,GSE33213,spleen,Spleen,,,10/25/11,0.206,48128,0.776
GSM1006885,GSE33213,GM13976,Peripheral blood,,,10/25/11,0.108,36783,0.842
GSM1006886,GSE33213,kidney,Kidney,,,10/25/11,0.144,44205,0.811
GSM1006887,GSE33213,LNCaP,Prostate,Prostate carcinoma,,10/25/11,0.183,47405,0.845
